date,searches,cases
22/11/2015,0,0
29/11/2015,57,0
06/12/2015,11,0
13/12/2015,9,0
20/12/2015,0,0
27/12/2015,0,0
03/01/2016,6,0
10/01/2016,28,0
17/01/2016,38,0
24/01/2016,51,1
31/01/2016,81,1
07/02/2016,100,1
14/02/2016,54,2
21/02/2016,45,2
28/02/2016,71,0
06/03/2016,98,2
13/03/2016,64,0
20/03/2016,43,0
27/03/2016,100,2
03/04/2016,50,2
10/04/2016,23,1
17/04/2016,41,1
24/04/2016,10,1
01/05/2016,23,7
08/05/2016,40,2
15/05/2016,9,1
22/05/2016,50,12
29/05/2016,48,0
05/06/2016,63,5
12/06/2016,73,60
19/06/2016,59,36
26/06/2016,100,33
03/07/2016,100,55
10/07/2016,100,71
17/07/2016,100,51
24/07/2016,91,73
31/07/2016,100,33
07/08/2016,100,105
14/08/2016,100,54
21/08/2016,46,35
28/08/2016,43,19
04/09/2016,39,5
11/09/2016,29,23
18/09/2016,35,10
25/09/2016,26,44
02/10/2016,29,15
09/10/2016,17,1
16/10/2016,29,2
23/10/2016,28,1
30/10/2016,22,9
06/11/2016,39,5
13/11/2016,45,2
20/11/2016,47,5
27/11/2016,100,3
04/12/2016,28,2
11/12/2016,69,3
18/12/2016,17,0
25/12/2016,34,3
01/01/2017,18,0
08/01/2017,19,1
15/01/2017,0,1
22/01/2017,38,1
29/01/2017,0,1
05/02/2017,18,0
12/02/2017,40,1
19/02/2017,0,1
26/02/2017,16,0
05/03/2017,55,0
12/03/2017,0,1
19/03/2017,50,1
26/03/2017,31,2
02/04/2017,23,0
09/04/2017,50,0
16/04/2017,0,0
23/04/2017,0,0
30/04/2017,0,0
07/05/2017,0,0
14/05/2017,10,0
21/05/2017,0,1
28/05/2017,71,0
04/06/2017,37,2
11/06/2017,41,0
18/06/2017,29,0
25/06/2017,22,0
02/07/2017,24,1
09/07/2017,49,0
16/07/2017,11,0
23/07/2017,0,0
30/07/2017,20,1
06/08/2017,55,0
13/08/2017,0,0
20/08/2017,78,2
27/08/2017,13,0
03/09/2017,0,0
10/09/2017,0,1
17/09/2017,0,1
24/09/2017,8,0
01/10/2017,14,0
08/10/2017,0,1
15/10/2017,0,1
22/10/2017,12,0
29/10/2017,5,0
05/11/2017,0,0
12/11/2017,5,0
19/11/2017,10,0
26/11/2017,11,3
03/12/2017,14,0
10/12/2017,0,0
17/12/2017,0,0
24/12/2017,0,0
31/12/2017,0,0
07/01/2018,0,0
14/01/2018,57,0
21/01/2018,0,0
28/01/2018,28,1
04/02/2018,12,0
